,0,1,2,3,4,5,6,output
274,121,101,121,121,5,121,104,0
275,109,109,109,109,52,109,110,1
276,93,66,64,93,108,21,128,0
277,130,31,108,21,136,41,21,1
278,53,41,128,7,108,135,21,0
279,7,108,135,21,108,130,21,0
280,21,108,130,21,108,130,21,0
281,21,108,130,21,108,130,21,0
282,4,61,85,4,61,99,4,1
283,4,12,85,4,12,99,4,1
284,4,111,85,4,111,99,4,1
285,4,20,85,4,20,99,4,1
286,4,71,85,4,71,99,4,1
287,4,132,85,4,132,99,4,1
288,4,79,85,4,79,99,4,1
289,4,24,85,4,24,99,4,1
290,4,40,85,4,40,99,4,1
291,4,135,85,4,135,99,4,1
292,4,49,85,4,49,99,4,1
293,4,141,85,4,141,99,4,1
294,4,13,85,4,13,99,4,1
295,4,18,85,4,18,99,4,1
296,4,53,85,4,53,99,4,1
297,4,118,85,4,118,99,4,1
298,4,126,85,4,126,99,4,1
299,4,81,85,4,81,99,4,1
300,126,4,81,4,85,4,99,1
301,81,4,85,4,85,99,4,1
302,81,4,99,4,99,85,4,1
303,103,4,99,45,4,99,109,1
304,45,4,99,109,4,39,61,1
305,109,4,39,61,4,39,12,1
306,61,4,39,12,4,39,111,1
307,12,4,39,111,4,39,20,1
308,111,4,39,20,4,39,71,1
309,20,4,39,71,4,39,132,1
310,71,4,39,132,4,39,79,1
311,132,4,39,79,4,39,24,1
312,79,4,39,24,4,39,40,1
313,24,4,39,40,4,39,135,1
314,40,4,39,135,4,39,49,1
315,135,4,39,49,4,39,141,1
316,49,4,39,141,4,39,13,1
317,141,4,39,13,4,39,18,1
318,13,4,39,18,4,39,53,1
319,18,4,39,53,4,39,118,1
320,53,4,39,118,4,39,126,1
321,118,4,39,126,4,39,81,1
322,39,126,4,39,81,4,39,1
323,39,81,4,39,4,39,85,1
324,39,4,39,85,4,39,99,1
325,85,4,39,99,4,39,143,1
326,99,4,39,143,4,39,136,1
327,143,4,39,136,4,39,6,1
328,136,4,39,6,4,39,103,1
329,6,4,39,103,4,39,45,1
330,4,143,85,4,143,99,4,1
331,4,136,85,4,136,99,4,1
332,4,6,85,4,6,99,4,1
333,4,103,85,4,103,99,4,1
334,4,45,85,4,45,99,4,1
335,4,109,85,4,109,99,4,1
336,53,57,108,121,42,57,42,0
337,53,57,108,121,42,57,42,0
338,57,42,35,53,42,35,16,2
339,16,103,140,126,56,79,16,2
340,126,99,126,141,126,141,117,1
341,126,141,126,141,117,83,39,1
342,129,129,129,16,52,45,51,1
343,129,16,52,45,51,89,39,1
344,22,2,82,77,22,2,107,2
345,18,56,47,40,47,56,18,1
346,45,103,136,5,104,66,21,0
347,136,5,104,66,21,36,130,0
348,108,129,135,53,108,66,36,0
349,53,57,108,121,42,57,42,0
350,57,42,35,53,42,35,16,2
351,16,103,140,126,56,79,16,2
352,34,117,47,79,71,40,141,1
353,117,47,79,71,40,141,126,1
354,47,79,71,40,141,126,39,1
355,79,71,40,141,126,39,39,1
356,71,40,141,126,39,39,39,1
357,40,141,126,39,39,39,39,1
358,141,126,39,39,39,39,39,1
359,126,39,39,39,39,39,39,1
360,39,39,39,39,39,39,39,1
361,39,39,39,39,39,39,39,1
362,39,39,39,39,39,39,39,1
363,39,39,39,39,39,39,39,1
364,39,39,39,39,39,39,39,1
365,39,39,39,39,39,39,39,1
366,39,39,39,39,39,39,39,1
367,39,39,39,39,39,39,39,1
368,39,39,39,39,39,99,21,1
369,52,52,52,52,16,16,52,1
370,52,52,16,16,52,103,39,1
371,45,45,45,45,45,103,52,1
372,70,73,73,5,73,73,5,0
373,136,6,109,6,136,109,6,0
374,136,6,109,6,136,109,6,0
375,136,6,109,6,136,109,6,0
376,136,130,133,133,73,36,109,0
377,77,82,82,16,16,36,109,0
378,136,6,109,6,136,109,6,0
379,136,6,109,6,136,109,6,0
380,136,6,109,6,136,109,6,0
381,136,130,133,133,73,36,109,0
382,77,82,82,16,16,36,109,0
383,136,6,109,6,136,109,6,0
384,136,6,109,6,136,109,6,0
385,136,6,109,6,136,109,6,0
386,136,130,133,133,73,36,109,0
387,77,82,82,16,16,16,109,0
388,12,94,4,64,136,136,136,0
389,4,64,136,136,136,14,130,1
390,136,136,14,130,136,39,36,1
391,108,5,5,5,136,136,136,0
392,5,5,136,136,136,14,130,1
393,108,5,5,5,136,136,136,0
394,108,93,64,94,64,121,35,1
395,108,5,5,5,136,136,136,0
396,16,22,41,16,22,82,16,1
397,22,22,41,16,22,82,16,1
398,52,36,136,133,36,136,109,0
399,136,133,36,136,109,136,130,0
400,36,136,14,36,136,109,45,0
401,14,36,136,109,45,136,130,1
402,133,36,66,14,5,14,66,0
403,36,66,14,5,14,66,36,0
404,52,36,136,133,36,136,109,0
405,136,133,36,136,109,136,130,0
406,36,136,14,36,136,109,45,0
407,14,36,136,109,45,136,130,1
408,133,36,66,14,5,14,66,0
409,36,66,14,5,14,66,36,0
410,93,108,128,14,5,14,128,0
411,128,14,5,14,128,36,130,0
412,14,5,14,128,36,130,73,0
413,14,128,36,130,73,130,130,0
414,36,130,73,130,130,73,130,0
415,73,130,130,73,130,73,130,0
416,130,73,130,73,130,136,130,0
417,73,130,73,130,136,130,73,0
418,73,130,130,136,45,136,136,0
419,45,136,136,136,130,136,45,0
420,52,36,136,133,36,136,109,0
421,136,133,36,136,109,136,130,0
422,36,136,14,36,136,109,45,0
423,14,36,136,109,45,136,130,1
424,133,36,66,14,5,14,66,0
425,36,66,14,5,14,66,36,0
426,93,108,128,14,5,14,128,0
427,128,14,5,14,128,36,130,0
428,14,5,14,128,36,130,73,0
429,14,128,36,130,73,130,130,0
430,36,130,73,130,130,73,130,0
431,73,130,130,73,130,73,130,0
432,130,73,130,73,130,136,130,0
433,73,130,73,130,136,130,73,0
434,73,130,130,136,45,136,136,0
435,45,136,136,136,130,136,45,0
436,52,36,136,133,36,136,109,0
437,136,133,36,136,109,136,130,0
438,36,136,14,36,136,109,45,0
439,14,36,136,109,45,136,130,1
440,52,36,136,133,36,136,109,0
441,136,133,36,136,109,136,130,0
442,36,136,14,36,136,109,45,0
443,14,36,136,109,45,136,130,1
444,133,36,66,14,5,14,66,0
445,36,66,14,5,14,66,36,0
446,52,36,136,133,36,136,109,0
447,136,133,36,136,109,136,130,0
448,36,136,14,36,136,109,45,0
449,14,36,136,109,45,136,130,1
450,133,36,66,14,5,14,66,0
451,36,66,14,5,14,66,36,0
452,52,36,136,133,36,136,109,0
453,136,133,36,136,109,136,130,0
454,36,136,14,36,136,109,45,0
455,14,36,136,109,45,136,130,1
456,133,36,66,14,5,14,66,0
457,36,66,14,5,14,66,36,0
458,52,36,136,133,36,136,109,0
459,136,133,36,136,109,136,130,0
460,36,136,14,36,136,109,45,0
461,14,36,136,109,45,136,130,1
462,52,36,136,133,36,136,109,0
463,136,133,36,136,109,136,130,0
464,36,136,14,36,136,109,45,0
465,14,36,136,109,45,136,130,1
466,133,36,66,14,5,14,66,0
467,36,66,14,5,14,66,36,0
468,93,108,128,14,5,14,128,0
469,133,36,66,14,5,14,66,0
470,36,66,14,5,14,66,36,0
471,93,108,128,14,5,14,128,0
472,133,36,66,14,5,14,66,0
473,36,66,14,5,14,66,36,0
474,93,108,128,14,5,14,128,0
475,103,18,48,18,48,18,48,2
476,140,18,48,18,48,18,48,2
477,7,71,74,135,63,53,135,1
478,53,135,74,39,66,66,66,1
479,63,53,135,74,4,12,20,2
480,73,64,35,5,73,31,73,0
481,129,5,5,42,5,73,73,0
482,104,5,129,104,104,104,45,1
483,129,104,104,104,45,110,39,1
484,39,144,39,45,110,110,45,1
485,39,45,110,110,45,110,39,1
486,39,144,39,45,110,110,45,1
487,39,45,110,110,45,110,39,1
488,39,144,39,45,110,110,45,1
489,39,45,110,110,45,110,39,1
490,132,81,81,117,117,117,117,1
491,83,13,117,117,83,83,83,1
492,117,117,110,110,45,45,110,1
493,110,110,45,45,110,45,39,1
494,45,110,45,39,45,39,143,1
495,45,39,45,39,143,45,39,1
496,89,51,52,52,80,72,45,1
497,136,52,109,36,136,103,109,0
498,136,52,109,36,136,103,109,0
499,94,94,94,94,94,21,45,0
500,94,94,94,21,45,136,130,1
501,136,130,21,39,21,89,21,1
502,21,39,21,89,21,66,39,1
503,39,21,89,21,66,39,66,1
504,53,129,7,126,93,71,5,1
505,93,71,5,79,39,35,79,1
506,21,35,7,73,21,35,7,1
507,21,35,7,79,39,35,79,1
508,99,35,79,73,99,35,135,1
509,99,35,135,79,39,35,79,1
510,39,35,79,73,39,35,79,1
511,39,35,79,79,39,35,79,1
512,53,129,7,126,93,71,126,1
513,93,71,126,79,39,35,79,1
514,35,18,79,83,126,83,48,2
515,48,83,140,48,71,126,21,1
516,21,126,7,53,66,21,85,0
517,130,136,79,83,126,83,48,2
518,48,83,140,48,71,126,21,1
519,21,126,7,53,66,21,85,0
520,83,126,126,83,71,126,21,1
521,93,7,129,7,53,71,126,1
522,71,99,64,66,7,21,79,1
523,89,47,79,135,99,79,79,1
524,99,79,79,135,39,79,79,1
525,93,7,129,7,53,71,126,1
526,129,7,53,71,126,79,39,1
527,53,71,126,79,39,79,39,1
528,126,79,39,79,39,79,39,1
529,45,136,21,21,21,45,136,1
530,136,21,21,21,45,136,21,1
531,21,21,45,136,21,39,39,0
532,21,45,136,21,39,39,133,0
533,45,136,21,21,21,45,136,1
534,136,21,21,21,45,136,21,1
535,21,21,45,136,21,39,39,0
536,21,45,136,21,39,39,133,0
537,45,136,21,21,21,45,136,1
538,136,21,21,21,45,136,21,1
539,21,21,45,136,21,39,39,0
540,21,45,136,21,39,39,133,0
541,45,136,21,21,21,45,136,1
542,136,21,21,21,45,136,21,1
543,21,21,45,136,21,39,39,0
544,21,45,136,21,39,39,133,0
545,45,136,21,21,21,45,136,1
546,136,21,21,21,45,136,21,1
547,21,21,45,136,21,39,39,0
548,21,45,136,21,39,39,133,0
549,45,136,21,21,21,45,136,1
550,136,21,21,21,45,136,21,1
551,21,21,45,136,21,39,39,0
552,21,45,136,21,39,39,133,0
553,45,136,21,21,21,45,136,1
554,136,21,21,21,45,136,21,1
555,21,21,45,136,21,39,39,0
556,21,45,136,21,39,39,133,0
557,45,136,21,21,21,45,136,1
558,136,21,21,21,45,136,21,1
559,21,21,45,136,21,39,39,0
560,21,45,136,21,39,39,133,0
561,45,136,21,21,21,45,136,1
562,136,21,21,21,45,136,21,1
563,21,21,45,136,21,39,39,0
564,21,45,136,21,39,39,133,0
565,45,136,21,21,21,45,136,1
566,136,21,21,21,45,136,21,1
567,21,21,45,136,21,39,39,0
568,21,45,136,21,39,39,133,0
569,45,136,21,21,21,45,136,1
570,136,21,21,21,45,136,21,1
571,21,21,45,136,21,39,39,0
572,21,45,136,21,39,39,133,0
573,45,136,21,21,21,45,136,1
574,136,21,21,21,45,136,21,1
575,21,21,45,136,21,39,39,0
576,21,45,136,21,39,39,133,0
577,45,136,103,45,136,103,45,0
578,103,45,136,130,133,73,133,0
579,52,45,103,45,103,136,133,1
580,45,103,136,133,21,39,85,1
581,45,136,103,45,136,103,45,0
582,103,45,136,130,133,73,133,0
583,52,45,103,45,103,136,133,1
584,45,103,136,133,21,39,85,1
585,45,136,103,45,136,103,45,0
