,0,1,2,3,4,5,6,output
318,26,26,24,93,19,66,118,1
319,97,86,86,86,86,39,86,1
320,26,26,24,93,19,66,118,1
321,24,93,19,66,118,87,70,1
322,87,70,81,70,39,3,15,0
323,85,15,102,85,104,22,85,0
324,31,78,103,81,3,22,103,0
325,103,81,3,22,103,3,110,0
326,3,110,115,110,80,100,62,0
327,115,110,80,100,62,57,110,0
328,54,40,72,3,40,57,3,0
329,37,100,68,44,94,109,15,0
330,100,68,44,94,109,15,94,0
331,94,109,15,94,110,110,15,0
332,2,47,28,2,47,117,2,0
333,2,8,28,2,8,117,2,0
334,2,88,28,2,88,117,2,0
335,2,14,28,2,14,117,2,0
336,2,55,28,2,55,117,2,0
337,2,106,28,2,106,117,2,0
338,2,62,28,2,62,117,2,0
339,2,18,28,2,18,117,2,0
340,2,29,28,2,29,117,2,0
341,2,109,28,2,109,117,2,0
342,2,37,28,2,37,117,2,0
343,2,115,28,2,115,117,2,0
344,2,9,28,2,9,117,2,0
345,2,12,28,2,12,117,2,0
346,2,40,28,2,40,117,2,0
347,2,94,28,2,94,117,2,0
348,2,100,28,2,100,117,2,0
349,2,64,28,2,64,117,2,0
350,68,2,76,2,28,2,117,0
351,2,68,28,2,68,117,2,0
352,2,76,28,2,76,117,2,0
353,2,28,76,2,28,117,2,0
354,2,117,76,2,117,28,2,0
355,80,2,117,34,2,117,86,0
356,34,2,117,86,2,110,47,0
357,86,2,110,47,2,110,8,0
358,47,2,110,8,2,110,88,0
359,8,2,110,88,2,110,14,0
360,88,2,110,14,2,110,55,0
361,14,2,110,55,2,110,106,0
362,55,2,110,106,2,110,62,0
363,106,2,110,62,2,110,18,0
364,62,2,110,18,2,110,29,0
365,18,2,110,29,2,110,109,0
366,29,2,110,109,2,110,37,0
367,109,2,110,37,2,110,115,0
368,37,2,110,115,2,110,9,0
369,115,2,110,9,2,110,12,0
370,9,2,110,12,2,110,40,0
371,12,2,110,40,2,110,94,0
372,40,2,110,94,2,110,100,0
373,94,2,110,100,2,110,64,0
374,110,100,2,110,64,2,110,0
375,110,64,2,110,2,110,68,0
376,110,2,110,68,2,110,76,0
377,68,2,110,76,2,110,28,0
378,76,2,110,28,2,110,117,0
379,28,2,110,117,2,110,4,0
380,117,2,110,4,2,110,80,0
381,4,2,110,80,2,110,34,0
382,2,4,28,2,4,117,2,0
383,2,80,28,2,80,117,2,0
384,2,34,28,2,34,117,2,0
385,2,86,28,2,86,117,2,0
386,62,55,29,115,100,76,100,0
387,29,115,100,76,100,76,110,0
388,103,103,103,103,11,39,34,1
389,11,39,34,38,70,28,76,1
390,93,12,43,35,29,35,43,1
391,66,100,40,100,15,76,34,0
392,80,110,3,81,52,15,27,0
393,31,26,52,81,81,81,81,0
394,55,55,55,55,62,11,11,1
395,55,55,62,11,11,39,70,1
