,0,1,2,3,4,5,6,output
246,142,112,134,58,134,112,134,1
247,134,58,134,112,134,142,134,1
248,90,112,90,95,90,112,90,1
249,90,95,90,112,90,112,134,1
250,90,112,90,112,134,58,134,1
251,90,112,134,58,134,112,134,1
252,134,58,134,112,134,142,134,1
253,29,137,29,58,29,137,142,1
254,29,58,29,137,142,112,134,1
255,29,137,142,112,134,58,134,1
256,142,112,134,58,134,112,134,1
257,134,58,134,112,134,142,134,1
258,90,112,90,86,90,112,90,1
259,90,86,90,112,90,112,134,1
260,142,112,90,86,90,112,146,1
261,90,86,90,112,146,17,134,1
262,90,112,146,17,134,86,134,1
263,90,112,90,95,90,112,90,1
264,90,95,90,112,90,112,134,1
265,90,112,90,112,134,58,134,1
266,90,112,134,58,134,112,134,1
267,134,58,134,112,134,112,134,1
268,134,112,134,112,134,58,134,1
269,111,131,61,111,84,6,52,0
270,111,131,61,111,84,6,52,0
271,35,71,126,71,53,6,52,0
272,35,71,126,71,53,6,52,0
273,35,71,126,71,53,6,52,0
274,35,71,126,71,53,6,52,0
275,130,66,66,130,136,52,107,0
276,135,135,135,135,93,93,135,0
277,148,19,140,34,100,34,78,0
278,148,19,140,34,144,34,78,0
279,2,148,100,148,110,140,2,0
280,2,148,100,148,110,140,2,0
281,45,16,52,16,52,16,52,0
282,52,16,52,16,52,16,77,0
283,52,16,52,16,77,16,77,0
284,16,77,16,77,137,82,137,0
285,130,136,103,136,130,130,109,0
286,130,130,109,16,77,82,44,0
287,16,77,82,44,82,77,82,0
288,148,148,34,147,147,82,148,0
289,148,34,147,147,82,148,148,0
290,148,148,77,77,148,82,148,0
291,148,77,77,148,82,148,148,0
292,23,16,23,16,80,22,80,0
293,16,23,16,80,22,80,22,0
294,16,80,22,80,22,77,77,0
295,22,80,22,77,77,82,77,0
296,148,2,80,16,107,140,107,0
297,16,77,80,107,148,107,80,0
298,2,29,119,122,96,122,96,1
299,29,119,122,96,122,96,122,1
300,119,122,96,122,96,122,134,1
301,93,35,71,93,12,79,16,0
302,21,103,16,124,44,44,44,0
303,51,107,59,2,23,119,29,1
304,130,6,103,103,103,103,52,0
305,6,103,103,103,103,52,80,0
306,52,80,77,77,80,16,52,0
307,52,52,52,52,45,103,52,0
308,52,52,52,45,103,52,80,0
309,72,72,45,45,72,72,45,0
310,72,45,45,72,72,45,45,0
311,45,45,72,72,45,45,77,0
312,45,72,72,45,45,77,77,0
313,45,45,77,77,77,77,72,0
314,45,77,77,77,77,72,72,0
315,77,77,77,77,72,72,77,0
316,77,77,77,72,72,77,77,0
317,72,72,77,77,77,77,72,0
318,72,77,77,77,77,72,72,0
319,77,77,72,72,77,77,72,0
320,77,72,72,77,77,72,72,0
321,72,72,77,77,72,72,77,0
322,72,77,77,72,72,77,77,0
323,72,72,77,77,77,77,72,0
324,72,77,77,77,77,72,72,0
325,77,77,77,77,72,72,77,0
326,77,77,77,72,72,77,77,0
327,72,72,77,77,77,77,72,0
328,72,77,77,77,77,72,72,0
329,45,45,52,72,80,52,72,0
330,72,80,52,72,80,77,72,0
331,72,72,45,45,72,72,45,0
332,72,45,45,72,72,45,45,0
333,45,45,72,72,45,45,77,0
334,45,72,72,45,45,77,77,0
335,45,45,77,77,77,77,72,0
336,45,77,77,77,77,72,72,0
337,77,77,77,77,72,72,77,0
338,77,77,77,72,72,77,77,0
339,72,72,77,77,77,77,72,0
340,72,77,77,77,77,72,72,0
341,77,77,72,72,77,77,72,0
342,77,72,72,77,77,72,72,0
343,72,72,77,77,72,72,77,0
344,72,77,77,72,72,77,77,0
345,72,72,77,77,77,77,72,0
346,72,77,77,77,77,72,72,0
347,77,77,77,77,72,72,77,0
348,77,77,77,72,72,77,77,0
349,72,72,77,77,77,77,72,0
350,72,77,77,77,77,72,72,0
351,81,85,81,110,45,52,72,0
352,72,6,39,81,81,81,6,0
353,39,81,81,81,6,72,77,0
354,6,72,77,72,77,137,142,0
355,137,142,137,142,137,142,137,0
356,137,142,137,142,77,112,137,0
357,142,17,142,137,137,137,142,0
358,142,137,137,137,142,137,77,0
359,23,107,107,107,107,107,107,0
360,107,107,107,107,107,107,107,0
361,107,107,107,107,107,107,77,0
362,23,107,107,107,107,107,107,0
363,107,107,107,107,107,107,107,0
364,107,107,107,107,107,107,77,0
